Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
35,Call of Duty: Black Ops II,4,2012,8,Activision,4.99,5.88,0.65,2.52,14.03
36,Call of Duty: Black Ops II,5,2012,8,Activision,8.25,4.3,0.07,1.12,13.73
37,Call of Duty: Modern Warfare 2,5,2009,8,Activision,8.52,3.63,0.08,1.29,13.51
38,Call of Duty: Modern Warfare 3,4,2011,8,Activision,5.54,5.82,0.49,1.62,13.46
39,Grand Theft Auto III,3,2001,10,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1
40,Super Smash Bros. Brawl,1,2008,11,Nintendo,6.75,2.61,2.66,1.02,13.04
41,Call of Duty: Black Ops,4,2010,8,Activision,5.98,4.44,0.48,1.83,12.73
42,Animal Crossing: Wild World,13,2005,9,Nintendo,2.55,3.52,5.33,0.88,12.27
43,Mario Kart 7,9,2011,3,Nintendo,4.74,3.91,2.67,0.89,12.21
44,Halo 3,5,2007,8,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14
45,Grand Theft Auto V,10,2014,10,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98
46,Pokemon HeartGold/Pokemon SoulSilver,13,2009,10,Nintendo,4.4,2.77,3.96,0.77,11.9
47,Super Mario 64,11,1996,2,Nintendo,6.91,2.85,1.91,0.23,11.89
48,Gran Turismo 4,3,2004,3,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66
49,Super Mario Galaxy,1,2007,2,Nintendo,6.16,3.4,1.2,0.76,11.52
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,9,2014,5,Nintendo,4.23,3.37,3.08,0.65,11.33
51,Super Mario Land 2: 6 Golden Coins,7,1992,12,Nintendo,6.16,2.04,2.69,0.29,11.18
52,Grand Theft Auto IV,5,2008,10,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02
53,Gran Turismo,12,1997,3,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95
54,Super Mario 3D Land,9,2011,2,Nintendo,4.89,2.99,2.13,0.78,10.79
55,Gran Turismo 5,4,2010,3,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77
56,Call of Duty: Modern Warfare 2,4,2009,8,Activision,4.99,3.69,0.38,1.63,10.69
57,Grand Theft Auto IV,4,2008,10,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57
58,Super Mario All-Stars,14,1993,2,Nintendo,5.99,2.15,2.12,0.29,10.55
59,Pokemon FireRed/Pokemon LeafGreen,6,2004,5,Nintendo,4.34,2.65,3.15,0.35,10.49
60,Super Mario 64,13,2004,2,Nintendo,5.08,3.11,1.25,0.98,10.42
61,Just Dance 3,1,2011,7,Ubisoft,6.05,3.15,0,1.07,10.26
62,Call of Duty: Ghosts,5,2013,8,Activision,6.72,2.63,0.04,0.82,10.21
63,Halo: Reach,5,2010,8,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88
64,Mario Kart 64,11,1996,3,Nintendo,5.55,1.94,2.23,0.15,9.87
65,New Super Mario Bros. 2,9,2012,2,Nintendo,3.66,3.07,2.47,0.63,9.82
66,Halo 4,5,2012,8,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76
67,Final Fantasy VII,12,1997,5,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72
68,Call of Duty: Ghosts,4,2013,8,Activision,4.09,3.73,0.38,1.38,9.59
69,Just Dance 2,1,2010,7,Ubisoft,5.84,2.89,0.01,0.78,9.52
70,Gran Turismo 2,12,1999,3,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49
71,Call of Duty 4: Modern Warfare,5,2007,8,Activision,5.91,2.38,0.13,0.9,9.32
72,Donkey Kong Country,14,1994,2,Nintendo,4.36,1.71,3,0.23,9.3
73,Minecraft,5,2013,7,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2
74,Animal Crossing: New Leaf,9,2012,9,Nintendo,2.01,2.32,4.36,0.41,9.09
75,Mario Party DS,13,2007,7,Nintendo,4.46,1.88,1.98,0.7,9.02
76,The Elder Scrolls V: Skyrim,5,2011,5,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84
77,Super Mario Kart,14,1992,3,Nintendo,3.54,1.24,3.81,0.18,8.76
78,FIFA 16,10,2015,1,Electronic Arts,1.11,6.06,0.06,1.26,8.49
79,1 Party,1,2010,7,Nintendo,1.79,3.53,2.49,0.68,8.49
80,Halo 2,20,2004,8,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49
81,Mario Party 8,1,2007,7,Nintendo,3.81,2.3,1.58,0.73,8.42
82,Pokemon Black 2/Pokemon White 2,13,2012,5,Nintendo,2.91,1.86,3.14,0.43,8.33
83,FIFA Soccer 13,4,2012,10,Electronic Arts,1.06,5.05,0.13,2.01,8.24
84,The Sims 3,21,2009,9,Electronic Arts,0.98,6.42,0,0.71,8.11
85,GoldenEye 007,11,1997,8,Nintendo,5.8,2.01,0.13,0.15,8.09
86,Mario & Sonic at the Olympic Games,1,2007,1,Sega,2.58,3.9,0.66,0.91,8.06
87,Final Fantasy X,3,2001,5,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05
88,Final Fantasy VIII,12,1999,5,SquareSoft,2.28,1.72,3.63,0.23,7.86
89,Pokémon Platinum Version,13,2008,5,Nintendo,2.82,1.78,2.69,0.55,7.84
90,Pac-Man,15,1982,6,Atari,7.28,0.45,0,0.08,7.81
91,Grand Theft Auto: Liberty City Stories,16,2005,10,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72
92,Super Mario Galaxy 2,1,2010,2,Nintendo,3.66,2.42,0.98,0.64,7.69
93,Star Wars Battlefront (2015),10,2015,8,Electronic Arts,2.93,3.29,0.22,1.23,7.67
94,Call of Duty: Advanced Warfare,10,2014,8,Activision,2.8,3.3,0.14,1.37,7.6
95,The Legend of Zelda: Ocarina of Time,11,1998,10,Nintendo,4.1,1.89,1.45,0.16,7.6
96,Crash Bandicoot 2: Cortex Strikes Back,12,1997,2,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58
97,Super Mario Bros. 2,2,1988,2,Nintendo,5.39,1.18,0.7,0.19,7.46
98,Super Smash Bros. for 1 U and 3DS,9,2014,11,Nintendo,3.24,1.35,2.42,0.43,7.45
99,Call of Duty: World at War,5,2008,8,Activision,4.79,1.9,0,0.69,7.37
100,Battlefield 3,5,2011,8,Electronic Arts,4.46,2.13,0.06,0.69,7.34
101,The Legend of Zelda: Twilight Princess,1,2006,10,Nintendo,3.83,2.19,0.6,0.7,7.31
102,Call of Duty: Black Ops 3,18,2015,8,Activision,4.52,2.09,0.01,0.67,7.3
103,Just Dance,1,2009,7,Ubisoft,3.51,3.03,0,0.73,7.27
104,Battlefield 3,4,2011,8,Electronic Arts,2.85,2.93,0.35,1.1,7.23
105,Need for Speed Underground,3,2003,3,Electronic Arts,3.27,2.83,0.08,1.02,7.2
106,Tekken 3,12,1998,11,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16
107,Crash Bandicoot 3: Warped,12,1998,2,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13
108,Super Smash Bros. Melee,19,2001,11,Nintendo,4.41,1.04,1.39,0.22,7.07
109,Mario Kart 8,17,2014,3,Nintendo,3.13,2.07,1.27,0.49,6.96
110,Fallout 4,10,2015,5,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96
111,Mario Kart: Double Dash!!,19,2003,3,Nintendo,4.12,1.77,0.87,0.19,6.95
112,Just Dance 4,1,2012,7,Ubisoft,4.14,2.21,0,0.56,6.91
113,FIFA 14,4,2013,1,Electronic Arts,0.78,4.32,0.07,1.73,6.9
114,Need for Speed Underground 2,3,2004,3,Electronic Arts,2.71,3.02,0.08,1.09,6.9
115,Medal of Honor: Frontline,3,2002,8,Electronic Arts,2.93,2.75,0.17,0.99,6.83
116,Uncharted 3: Drake's Deception,4,2011,10,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83
117,Crash Bandicoot,12,1996,2,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82
118,Zumba Fit2s,1,2010,1,505 Games,3.5,2.64,0,0.67,6.81
119,Gears of War 2,5,2008,8,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76
120,Uncharted 2: Among Thieves,4,2009,10,Sony Computer Entertainment,3.27,2.25,0.21,1,6.73
121,Call of Duty 4: Modern Warfare,4,2007,8,Activision,3.1,2.3,0.28,1.04,6.72
122,FIFA 12,4,2011,1,Electronic Arts,0.84,4.32,0.11,1.42,6.69
123,Big Brain Academy,13,2005,7,Nintendo,1.67,2.78,1.6,0.62,6.67
124,Red Dead Redemption,4,2010,10,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6
125,FIFA 15,10,2014,1,Electronic Arts,0.79,4.29,0.05,1.47,6.59
126,Donkey Kong Country Returns,1,2010,2,Nintendo,3.25,1.84,1.03,0.47,6.59
127,The Elder Scrolls V: Skyrim,4,2011,5,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56
128,The Legend of Zelda,2,1986,10,Nintendo,3.74,0.93,1.69,0.14,6.51
129,Assassin's Creed III,4,2012,10,Ubisoft,2.64,2.56,0.16,1.14,6.5
130,Halo: Combat Evolved,20,2001,8,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43
131,Pokémon Emerald Version,6,2004,5,Nintendo,2.57,1.58,2.06,0.21,6.41
132,Kingdom Hearts,3,2002,5,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4
133,Pokémon Crystal Version,7,2000,5,Nintendo,2.55,1.56,1.29,0.99,6.39
134,Halo 3: ODST,5,2009,8,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36
135,Red Dead Redemption,5,2010,10,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34
136,Super Mario Sunshine,19,2002,2,Nintendo,4.01,1.26,0.87,0.17,6.31
137,Street Fighter II: The World Warrior,14,1992,11,Capcom,2.47,0.83,2.87,0.12,6.3
138,World of Warcraft,21,2004,5,Activision,0.07,6.21,0,0,6.28
139,Driver,12,1999,10,GT Interactive,3.11,2.8,0.02,0.33,6.27
140,Kinect Sports,5,2010,1,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24
141,Gears of War 3,5,2011,8,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24
142,Gears of War,5,2006,8,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11
143,Metal Gear Solid 2: Sons of Liberty,3,2001,10,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05
144,Sonic the Hedgehog 2,22,1992,2,Sega,4.47,1.2,0.16,0.19,6.03
145,Metal Gear Solid 4: Guns of the Patriots,4,2008,10,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03
146,Metal Gear Solid,12,1998,10,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03
147,The Last of Us,4,2013,10,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99
148,Final Fantasy XII,3,2006,5,Square Enix,1.88,0,2.33,1.74,5.95
149,LittleBigPlanet,4,2008,2,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92
150,Dragon Quest IX: Sentinels of the Starry Skies,13,2009,5,Nintendo,0.66,0.69,4.35,0.15,5.84
151,LEGO Star Wars: The Complete Saga,1,2007,10,LucasArts,3.66,1.63,0,0.53,5.83
152,Resident Evil 2,12,1998,10,Virgin Interactive,1.88,1.47,2.02,0.45,5.82
153,Tekken 2,12,1996,11,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74
154,Cooking Mama,13,2006,9,505 Games,3.13,1.94,0.07,0.58,5.72
155,Destiny,10,2014,8,Activision,2.49,2.05,0.16,0.96,5.65
156,Tetris,2,1988,6,Nintendo,2.97,0.69,1.81,0.11,5.58
157,Assassin's Creed II,4,2009,10,Ubisoft,2.54,1.95,0.21,0.87,5.57
158,Super Smash Bros.,11,1999,11,Nintendo,2.95,0.6,1.97,0.04,5.55
159,Assassin's Creed,5,2007,12,Ubisoft,3.28,1.65,0.07,0.55,5.55
160,Batman: Arkham City,4,2011,10,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53
161,Forza Motorsport 3,5,2009,3,Microsoft Game Studios,2.99,1.92,0.1,0.51,5.51
162,Monster Hunter Freedom Unite,16,2008,5,Capcom,0.47,0.57,4.13,0.34,5.5
163,Super Mario Advance,6,2001,2,Nintendo,3.14,1.24,0.91,0.2,5.49
164,Mario Kart: Super Circuit,6,2001,3,Nintendo,2.62,1.64,0.99,0.23,5.47
165,Super Mario World,6,2001,2,Nintendo,3.21,1.11,0.95,0.2,5.46
166,Pokemon Stadium,11,1999,13,Nintendo,3.18,1.24,0.94,0.09,5.45
167,Call of Duty: World at War,4,2008,8,Activision,2.72,1.87,0,0.84,5.43
168,Crash Bandicoot: The Wrath of Cortex,3,2001,2,Universal Interactive,2.07,2.29,0.24,0.82,5.42
169,Minecraft,4,2014,7,Sony Computer Entertainment,1.97,2.51,0,0.94,5.42
170,Final Fantasy XIII,4,2009,5,Square Enix,1.74,1.24,1.87,0.52,5.36
171,Dr. Mario,7,1989,6,Nintendo,2.18,0.96,2,0.2,5.34
172,Pokemon Pinball,7,1999,7,Nintendo,3.02,1.12,1.01,0.16,5.31
173,Assassin's Creed III,5,2012,10,Ubisoft,3.13,1.71,0.03,0.44,5.3
174,Final Fantasy IX,12,2000,5,SquareSoft,1.62,0.77,2.78,0.14,5.3
175,Final Fantasy X-2,3,2003,5,Electronic Arts,1.92,1.08,2.11,0.17,5.29
176,Donkey Kong 64,11,1999,2,Nintendo,3.33,0.79,1.09,0.06,5.27
177,Assassin's Creed II,5,2009,10,Ubisoft,3.1,1.56,0.08,0.51,5.27
178,Professor Layton and the Curious Village,13,2007,6,Nintendo,1.22,2.48,1.03,0.52,5.26
179,Tomb Raider II,12,1997,10,Eidos Interactive,2.3,2.46,0.2,0.28,5.24
180,Madden NFL 2004,3,N/A,1,Electronic Arts,4.26,0.26,0.01,0.71,5.23
181,Dragon Quest VIII: Journey of the Cursed King,3,2004,5,Square Enix,0.65,0.75,3.61,0.2,5.21
182,Diablo III,21,2012,5,Activision,2.43,2.15,0,0.62,5.2
183,Super Mario Bros. 3,6,2003,2,Nintendo,2.93,1.25,0.83,0.2,5.2
184,New Super Mario Bros. U,17,2012,2,Nintendo,2.32,1.3,1.27,0.31,5.19
185,Super Mario Land 3: Wario Land,7,1994,2,Nintendo,2.49,0.98,1.57,0.15,5.19
186,FIFA Soccer 13,5,2012,10,Electronic Arts,1.08,3.48,0.03,0.58,5.18
187,The Legend of Zelda: Phantom Hourglass,13,2007,10,Nintendo,1.9,1.83,0.95,0.49,5.17
188,Donkey Kong Country 2: Diddy's Kong Quest,14,1995,2,Nintendo,2.1,0.74,2.2,0.11,5.15
189,Tomodachi Life,9,2013,9,Nintendo,0.96,2.02,1.89,0.28,5.15
190,Mario & Sonic at the Olympic Games,13,2008,1,Sega,1.64,2.48,0.44,0.58,5.14
191,Medal of Honor: Rising Sun,3,2003,8,Electronic Arts,1.98,2.23,0.13,0.8,5.13
192,Kirby's Dream Land,7,1992,2,Nintendo,2.71,0.61,1.7,0.11,5.13
193,Fable III,5,2010,5,Microsoft Game Studios,3.59,1.11,0.05,0.38,5.13
194,Call of Duty: Advanced Warfare,18,2014,8,Activision,3.21,1.53,0.01,0.38,5.13
195,Microsoft Flight Simulator,21,1996,9,Microsoft Game Studios,3.22,1.69,0,0.2,5.12
196,Guitar Hero II,3,2006,7,RedOctane,3.81,0.63,0,0.68,5.12
197,Resident Evil 5,4,2009,10,Capcom,1.96,1.43,1.08,0.65,5.11
198,Grand Theft Auto V,18,2014,10,Take-Two Interactive,2.66,2.01,0,0.41,5.08
199,Grand Theft Auto: Vice City Stories,16,2006,10,Take-Two Interactive,1.7,2.02,0.16,1.21,5.08
200,FIFA Soccer 11,4,2010,1,Electronic Arts,0.6,3.29,0.06,1.13,5.08
201,Super Mario Bros.,7,1999,2,Nintendo,3.4,1.3,0.15,0.22,5.07
202,Resident Evil,12,1996,10,Virgin Interactive,2.05,1.16,1.11,0.73,5.05
203,Tony Hawk's Pro Skater,12,1999,1,Activision,3.42,1.38,0.02,0.2,5.02
204,Super Smash Bros. for 1 U and 3DS,17,2014,11,Nintendo,2.59,1.06,0.8,0.57,5.02
205,Warzone 2100,12,1999,13,Eidos Interactive,2.79,1.89,0,0.33,5.01
206,Spyro the Dragon,12,1998,2,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5
207,Link's Crossbow Training,1,2007,8,Nintendo,3.06,1.18,0.29,0.46,5
208,Guitar Hero III: Legends of Rock,3,2007,7,Activision,3.49,0.01,0.01,1.48,4.98
209,Fallout 3,5,2008,5,Bethesda Softworks,3.39,1.03,0.09,0.44,4.96
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Dark2s,13,2007,5,Nintendo,1.85,1.2,1.54,0.37,4.96
211,Uncharted: Drake's Fortune,4,2007,10,Sony Computer Entertainment,2.31,1.73,0.12,0.78,4.94
212,Madden NFL 06,3,2005,1,Electronic Arts,3.98,0.26,0.01,0.66,4.91
213,LEGO Star Wars: The Complete Saga,13,2007,10,LucasArts,2.89,1.54,0,0.46,4.9
214,Diddy Kong Racing,11,1997,3,Nintendo,2.91,0.99,0.89,0.1,4.88
215,Monster Hunter Freedom 3,16,2010,5,Capcom,0,0,4.87,0,4.87
216,Dr. Mario,2,1990,6,Nintendo,2.62,0.6,1.52,0.1,4.85
217,God of War III,4,2010,10,Sony Computer Entertainment,2.74,1.36,0.12,0.63,4.84
218,StarCraft II: Wings of Liberty,21,2010,13,Activision,2.56,1.68,0,0.59,4.83
219,Assassin's Creed,4,2007,12,Ubisoft,1.91,2,0.09,0.83,4.83
220,FIFA 15,4,2014,1,Electronic Arts,0.57,3.14,0.04,1.07,4.82
221,Crash Team Racing,12,1999,3,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79
222,FIFA 17,10,2016,1,Electronic Arts,0.28,3.75,0.06,0.69,4.77
223,Batman: Arkham City,5,2011,10,Warner Bros. Interactive Entertainment,2.99,1.31,0.04,0.41,4.76
224,Driver 2,12,2000,10,Atari,2.36,2.1,0.02,0.25,4.73
225,The Simpsons: Hit & Run,3,2003,3,Vivendi Games,1.73,2.19,0,0.79,4.7
226,Tony Hawk's Pro Skater 2,12,2000,1,Activision,3.05,1.41,0.02,0.2,4.68
227,Animal Crossing: City Folk,1,2008,9,Nintendo,1.87,1.12,1.32,0.37,4.68
228,The Lord of the Rings: The Two Towers,3,2002,10,Electronic Arts,1.94,1.95,0.08,0.7,4.67
229,Forza Motorsport 4,5,2011,3,Microsoft Game Studios,2.08,2.04,0.06,0.47,4.64
230,Tomb Raider,12,1996,10,Eidos Interactive,2.29,1.97,0.13,0.24,4.63
231,Guitar Hero III: Legends of Rock,1,2007,7,Activision,3.06,1.12,0,0.44,4.62
232,The Legend of Zelda: A Link to the Past,14,1991,10,Nintendo,2.42,0.91,1.15,0.13,4.61
233,The Legend of Zelda: The Wind Waker,19,2002,10,Nintendo,2.6,0.99,0.89,0.13,4.6
234,Mario & Sonic at the Olympic Winter Games,1,2009,1,Sega,1.89,1.99,0.22,0.48,4.58
235,Luigi's Mansion: Dark Moon,9,2013,10,Nintendo,1.78,1.39,1.1,0.3,4.58
236,Splatoon,17,2015,8,Nintendo,1.55,1.15,1.44,0.43,4.57
237,The Last of Us,10,2014,10,Sony Computer Entertainment,1.78,1.87,0.07,0.82,4.55
238,Guitar Hero III: Legends of Rock,5,2007,7,Activision,3.19,0.92,0.01,0.42,4.53
239,Madden NFL 2005,3,2004,1,Electronic Arts,4.18,0.26,0.01,0.08,4.53
240,Pitfall!,15,1981,2,Activision,4.21,0.24,0,0.05,4.5
241,Madden NFL 07,3,2006,1,Electronic Arts,3.63,0.24,0.01,0.61,4.49
242,Spider-Man: The Movie,3,2002,10,Activision,2.71,1.51,0.03,0.23,4.48
243,Dragon Quest VII: Warriors of Eden,12,2000,5,Enix Corporation,0.2,0.14,4.1,0.02,4.47
244,Uncharted: The Nathan Drake Collection,10,2015,10,Sony Computer Entertainment,1.96,1.69,0.08,0.74,4.47
245,Call of Duty: Advanced Warfare,4,2014,8,Activision,1.54,1.94,0.19,0.77,4.45
246,God of War,3,2005,10,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45
247,Nintendo Land,17,2012,7,Nintendo,2.55,1.11,0.46,0.33,4.44
248,Michael Jackson: The Experience,1,2010,7,Ubisoft,2.67,1.35,0.01,0.39,4.42
249,Tony Hawk's Pro Skater 3,3,2001,1,Activision,2.66,1.29,0.01,0.46,4.41
250,Winning Eleven: Pro Evolution Soccer 2007,3,2006,1,Konami Digital Entertainment,0.1,2.39,1.05,0.86,4.39
251,The Elder Scrolls IV: Oblivion,5,2006,5,Take-Two Interactive,2.82,1.05,0.13,0.4,4.39
252,Zelda II: The Adventure of Link,2,1987,12,Nintendo,2.19,0.5,1.61,0.08,4.38
253,Need for Speed: Most Wanted,3,2005,3,Electronic Arts,2.03,1.79,0.08,0.47,4.37
254,Resistance: Fall of Man,4,2006,8,Sony Computer Entertainment,1.73,1.73,0.14,0.75,4.35
255,Sonic the Hedgehog,22,1991,2,Sega,3.03,0.91,0.26,0.13,4.34
256,Kingdom Hearts II,3,2005,5,Square Enix,2.2,0.58,1.38,0.17,4.33
257,FIFA 14,5,2013,1,Electronic Arts,0.92,2.93,0.01,0.46,4.31
258,Call of Duty: Advanced Warfare,5,2014,8,Activision,2.75,1.18,0,0.37,4.31
259,Asteroids,15,1980,8,Atari,4,0.26,0,0.05,4.31
260,Fable II,5,2008,5,Microsoft Game Studios,2.51,1.27,0.11,0.41,4.31
261,Halo 5: Guardians,18,2015,8,Microsoft Game Studios,2.64,1.2,0.03,0.39,4.26
262,Super Mario 3D World,17,2013,2,Nintendo,2.11,1.11,0.72,0.3,4.25
263,Batman: Arkham Asylum,4,2009,10,Eidos Interactive,2.23,1.34,0.07,0.61,4.25
264,Assassin's Creed: Revelations,4,2011,10,Ubisoft,1.41,2.02,0.1,0.72,4.24
265,Namco Museum,6,2001,7,Namco Bandai Games,3,1.11,0.05,0.07,4.24
266,Metal Gear Solid 3: Snake Eater,3,2004,10,Konami Digital Entertainment,1.46,0,0.83,1.93,4.23
267,Daxter,16,2006,2,Sony Computer Entertainment,2.45,1.02,0,0.75,4.22
268,Warcraft II: Tides of Dark2s,21,1995,13,Activision,1.7,2.27,0,0.23,4.21
269,The Legend of Zelda: Ocarina of Time,9,2011,10,Nintendo,2.03,1.27,0.62,0.3,4.21
270,FIFA Soccer 06,3,2005,1,Electronic Arts,0.78,2.55,0.04,0.84,4.21
271,EyeToy Play,3,2003,7,Sony Computer Entertainment,0.88,2.3,0.2,0.83,4.2
272,Uncharted 4: A Thief's End,10,2016,8,Sony Computer Entertainment,1.3,2.07,0.18,0.65,4.2
273,Gran Turismo 5 Prologue,4,2007,3,Sony Computer Entertainment,1.28,1.83,0.57,0.53,4.2
274,Assassin's Creed: Revelations,5,2011,10,Ubisoft,2.25,1.47,0.04,0.43,4.19
275,Street Fighter IV,4,2009,11,Capcom,2.02,1.06,0.58,0.53,4.19
276,FIFA 12,5,2011,1,Electronic Arts,0.84,2.79,0.02,0.53,4.19
277,Teenage Mutant Ninja Turtles,2,1989,10,Palcom,3.38,0.44,0.31,0.04,4.17
278,Excitebike,2,1984,3,Nintendo,2.04,0.48,1.57,0.07,4.16
279,Frogger,12,1997,10,Hasbro Interactive,3.79,0.27,0,0.11,4.16
280,Madden NFL 2003,3,2002,1,Electronic Arts,3.36,0.21,0.01,0.56,4.14
281,Watch Dogs,10,2014,10,Ubisoft,1.4,1.86,0.11,0.77,4.14
282,Half-Life,21,1997,8,Vivendi Games,4.03,0,0.09,0,4.12
283,Super Mario World 2: Yoshi's Island,14,1995,2,Nintendo,1.65,0.61,1.76,0.09,4.12
284,FIFA Soccer 07,3,2006,1,Electronic Arts,0.71,2.48,0.03,0.89,4.11
285,The Legend of Zelda: Skyward Sword,1,2011,10,Nintendo,2.14,1.2,0.37,0.4,4.1
286,Street Fighter II Turbo,14,1992,11,Capcom,1.42,0.51,2.1,0.07,4.1
287,Carnival Games,1,2007,7,Take-Two Interactive,2.13,1.5,0.05,0.42,4.1
288,Fallout 4,18,2015,5,Bethesda Softworks,2.45,1.26,0.01,0.37,4.09
